Time,Bytes
0.231545,340
0.231545,680
0.231545,1020
0.231545,1360
0.231545,1700
0.231545,2040
0.231545,2380
0.231545,2720
0.231545,3060
0.231545,3400
0.790703,3060
0.790703,3400
0.790703,3740
0.916783,3060
0.916783,3400
0.916783,3740
0.916783,4080
1.02422,3400
1.02422,3740
1.02422,4080
1.02422,4420
1.1503,3740
1.1503,4080
1.1503,4420
1.1503,4760
1.27638,4080
1.27638,4420
1.27638,4760
1.27638,5100
1.40246,4420
1.40246,4760
1.40246,5100
1.40246,5440
1.52854,5100
1.52854,5440
1.52854,5780
1.59158,5440
1.59158,5780
1.59158,6120
1.65462,5780
1.65462,6120
1.71766,5440
1.71766,5780
1.71766,6120
1.71766,6460
1.7807,6120
1.7807,6460
1.84374,5780
1.84374,6120
1.84374,6460
1.84374,6800
1.96982,6120
1.96982,6460
1.96982,6800
1.96982,7140
2.0959,6460
2.0959,6800
2.0959,7140
2.0959,7480
2.22198,6800
2.22198,7140
2.22198,7480
2.22198,7820
2.34806,7140
2.34806,7480
2.34806,7820
2.34806,8160
2.47414,7480
2.47414,7820
2.47414,8160
2.47414,8500
2.60022,7820
2.60022,8160
2.60022,8500
2.60022,8840
2.7263,8160
2.7263,8500
2.7263,8840
2.7263,9180
2.78934,8840
2.78934,9180
2.91542,8840
2.91542,9180
2.91542,9520
3.0415,8840
3.0415,9180
3.0415,9520
3.0415,9860
3.16758,9180
3.16758,9520
3.16758,9860
3.16758,10200
3.29366,9520
3.29366,9860
3.29366,10200
3.29366,10540
3.41974,9860
3.41974,10200
3.41974,10540
3.41974,10880
3.54582,10200
3.54582,10540
3.54582,10880
3.54582,11220
3.6719,10540
3.6719,10880
3.6719,11220
3.6719,11560
3.79798,10880
3.79798,11220
3.79798,11560
3.79798,11900
3.92406,11220
3.92406,11560
3.92406,11900
3.92406,12240
4.05014,11560
4.05014,11900
4.05014,12240
4.05014,12580
4.17622,11900
4.17622,12240
4.17622,12580
4.17622,12920
4.3023,12240
4.3023,12580
4.3023,12920
4.3023,13260
4.42838,12580
4.42838,12920
4.42838,13260
4.42838,13600
4.55446,12920
4.55446,13260
4.55446,13600
4.55446,13940
4.68054,13260
4.68054,13600
4.68054,13940
4.68054,14280
4.80662,13600
4.80662,13940
4.80662,14280
4.80662,14620
4.9327,13940
4.9327,14280
4.9327,14620
4.9327,14960
5.05878,14280
5.05878,14620
5.05878,14960
5.05878,15300
5.18486,14620
5.18486,14960
5.18486,15300
5.18486,15640
5.31094,14960
5.31094,15300
5.31094,15640
5.31094,15980
5.43702,15300
5.43702,15640
5.43702,15980
5.43702,16320
5.5631,15640
5.5631,15980
5.5631,16320
5.5631,16660
5.68918,15980
5.68918,16320
5.68918,16660
5.68918,17000
5.81526,16320
5.81526,16660
5.81526,17000
5.81526,17340
5.94134,16660
5.94134,17000
5.94134,17340
5.94134,17680
6.06742,17000
6.06742,17340
6.06742,17680
6.06742,18020
6.1935,17340
6.1935,17680
6.1935,18020
6.1935,18360
6.31958,17680
6.31958,18020
6.31958,18360
6.31958,18700
6.44566,18020
6.44566,18360
6.44566,18700
6.44566,19040
6.57174,18360
6.57174,18700
6.57174,19040
6.57174,19380
6.69782,18700
6.69782,19040
6.69782,19380
6.69782,19720
6.8239,19040
6.8239,19380
6.8239,19720
6.8239,20060
6.94998,19380
6.94998,19720
6.94998,20060
6.94998,20400
7.07606,19720
7.07606,20060
7.07606,20400
7.07606,20740
7.20214,20060
7.20214,20400
7.20214,20740
7.20214,21080
7.32822,20400
7.32822,20740
7.32822,21080
7.32822,21420
7.4543,20740
7.4543,21080
7.4543,21420
7.4543,21760
7.58038,21080
7.58038,21420
7.58038,21760
7.58038,22100
7.70646,21420
7.70646,21760
7.70646,22100
7.70646,22440
7.83254,21760
7.83254,22100
7.83254,22440
7.83254,22780
7.95862,22100
7.95862,22440
7.95862,22780
7.95862,23120
8.0847,22440
8.0847,22780
8.0847,23120
8.0847,23460
8.21078,22780
8.21078,23120
8.21078,23460
8.21078,23800
8.33686,23120
8.33686,23460
8.33686,23800
8.33686,24140
8.46294,23460
8.46294,23800
8.46294,24140
8.46294,24480
8.58902,23800
8.58902,24140
8.58902,24480
8.58902,24820
8.7151,24140
8.7151,24480
8.7151,24820
8.7151,25160
8.84118,24480
8.84118,24820
8.84118,25160
8.84118,25500
8.96726,24820
8.96726,25160
8.96726,25500
8.96726,25840
9.09334,25160
9.09334,25500
9.09334,25840
9.09334,26180
9.21942,25500
9.21942,25840
9.21942,26180
9.21942,26520
9.3455,25840
9.3455,26180
9.3455,26520
9.3455,26860
9.47158,26180
9.47158,26520
9.47158,26860
9.47158,27200
9.59766,26520
9.59766,26860
9.59766,27200
9.59766,27540
9.72374,26860
9.72374,27200
9.72374,27540
9.72374,27880
9.84982,27200
9.84982,27540
9.84982,27880
9.84982,28220
9.9759,27540
9.9759,27880
9.9759,28220
9.9759,28560
10.102,27880
10.102,28220
10.102,28560
10.102,28900
10.2281,28220
10.2281,28560
10.2281,28900
10.2281,29240
10.3541,28560
10.3541,28900
10.3541,29240
10.3541,29580
10.4802,28900
10.4802,29240
10.4802,29580
10.4802,29920
10.6063,29240
10.6063,29580
10.6063,29920
10.6063,30260
10.7324,29580
10.7324,29920
10.7324,30260
10.7324,30600
10.8585,29920
10.8585,30260
10.8585,30600
10.8585,30940
10.9845,30260
10.9845,30600
10.9845,30940
10.9845,31280
11.1106,30600
11.1106,30940
11.1106,31280
11.1106,31620
11.2367,30940
11.2367,31280
11.2367,31620
11.2367,31960
11.3628,31280
11.3628,31620
11.3628,31960
11.3628,32300
11.4889,31620
11.4889,31960
11.4889,32300
11.4889,32640
11.6149,31960
11.6149,32300
11.6149,32640
11.6149,32980
11.741,32300
11.741,32640
11.741,32980
11.741,33320
11.8671,32640
11.8671,32980
11.8671,33320
11.8671,33660
11.9932,32980
11.9932,33320
11.9932,33660
11.9932,34000
12.1193,33320
12.1193,33660
12.1193,34000
12.1193,34340
12.2453,33660
12.2453,34000
12.2453,34340
12.2453,34680
12.3714,34000
12.3714,34340
12.3714,34680
12.3714,35020
12.4975,34340
12.4975,34680
12.4975,35020
12.4975,35360
12.6236,34680
12.6236,35020
12.6236,35360
12.6236,35700
12.7497,35020
12.7497,35360
12.7497,35700
12.7497,36040
12.8757,35360
12.8757,35700
12.8757,36040
12.8757,36380
13.0018,35700
13.0018,36040
13.0018,36380
13.0018,36720
13.1279,36040
13.1279,36380
13.1279,36720
13.1279,37060
13.254,36380
13.254,36720
13.254,37060
13.254,37400
13.3801,36720
13.3801,37060
13.3801,37400
13.3801,37740
13.5061,37060
13.5061,37400
13.5061,37740
13.5061,38080
13.6322,37400
13.6322,37740
13.6322,38080
13.6322,38420
13.7583,37740
13.7583,38080
13.7583,38420
13.7583,38760
13.8844,38080
13.8844,38420
13.8844,38760
13.8844,39100
14.0105,38420
14.0105,38760
14.0105,39100
14.0105,39440
14.1365,38760
14.1365,39100
14.1365,39440
14.1365,39780
14.2626,39100
14.2626,39440
14.2626,39780
14.2626,40120
14.3887,39440
14.3887,39780
14.3887,40120
14.3887,40460
14.5148,39780
14.5148,40120
14.5148,40460
14.5148,40800
14.6409,40120
14.6409,40460
14.6409,40800
14.6409,41140
14.7669,40460
14.7669,40800
14.7669,41140
14.7669,41480
14.893,40800
14.893,41140
14.893,41480
14.893,41820
15.0191,41140
15.0191,41480
15.0191,41820
15.0191,42160
15.1452,41480
15.1452,41820
15.1452,42160
15.1452,42500
15.2713,41820
15.2713,42160
15.2713,42500
15.2713,42840
15.3973,42160
15.3973,42500
15.3973,42840
15.3973,43180
15.5234,42500
15.5234,42840
15.5234,43180
15.5234,43520
15.6495,42840
15.6495,43180
15.6495,43520
15.6495,43860
15.7756,43180
15.7756,43520
15.7756,43860
15.7756,44200
15.9017,43520
15.9017,43860
15.9017,44200
15.9017,44540
16.0277,43860
16.0277,44200
16.0277,44540
16.0277,44880
16.1538,44200
16.1538,44540
16.1538,44880
16.1538,45220
16.2799,44540
16.2799,44880
16.2799,45220
16.2799,45560
16.406,44880
16.406,45220
16.406,45560
16.406,45900
16.5321,45220
16.5321,45560
16.5321,45900
16.5321,46240
16.6581,45560
16.6581,45900
16.6581,46240
16.6581,46580
16.7842,45900
16.7842,46240
16.7842,46580
16.7842,46920
16.9103,46240
16.9103,46580
16.9103,46920
16.9103,47260
17.0364,46580
17.0364,46920
17.0364,47260
17.0364,47600
17.1625,46920
17.1625,47260
17.1625,47600
17.1625,47940
17.2885,47260
17.2885,47600
17.2885,47940
17.2885,48280
17.4146,47600
17.4146,47940
17.4146,48280
17.4146,48620
17.5407,47940
17.5407,48280
17.5407,48620
17.5407,48960
