Time,Goodput
0.115772,58
0.343468,54
0.678779,394
0.741819,394
0.804859,394
0.867899,394
0.930939,394
0.993979,394
1.05702,394
1.12006,394
1.1831,394
1.24614,394
1.30918,394
1.37222,394
1.43526,394
1.4983,394
1.56134,394
1.62438,394
1.68742,394
1.75046,394
1.8135,394
1.87654,394
1.93958,394
2.00262,394
2.06566,394
2.1287,394
2.19174,394
2.25478,394
2.31782,394
2.38086,394
2.4439,394
2.50694,394
2.56998,394
2.63302,394
2.69606,394
2.7591,394
2.82214,394
2.88518,394
2.94822,394
3.01126,394
3.0743,394
3.13734,394
3.20038,394
3.26342,394
3.32646,394
3.3895,394
3.45254,394
3.51558,394
3.57862,394
3.64166,394
3.7047,394
3.76774,394
3.83078,394
3.89382,394
3.95686,394
4.0199,394
4.08294,394
4.14598,394
4.20902,394
4.27206,394
4.3351,394
4.39814,394
4.46118,394
4.52422,394
4.58726,394
4.6503,394
4.71334,394
4.77638,394
4.83942,394
4.90246,394
4.9655,394
5.02854,394
5.09158,394
5.15462,394
5.21766,394
5.2807,394
5.34374,394
5.40678,394
5.46982,394
5.53286,394
5.5959,394
5.65894,394
5.72198,394
5.78502,394
5.84806,394
5.9111,394
5.97414,394
6.03718,394
6.10022,394
6.16326,394
6.2263,394
6.28934,394
6.35238,394
6.41542,394
6.47846,394
6.5415,394
6.60454,394
6.66758,394
6.73062,394
6.79366,394
6.8567,394
6.91974,394
6.98278,394
7.04582,394
7.10886,394
7.1719,394
7.23494,394
7.29798,394
7.36102,394
7.42406,394
7.4871,394
7.55014,394
7.61318,394
7.67622,394
7.73926,394
7.8023,394
7.86534,394
7.92838,394
7.99142,394
8.05446,394
8.1175,394
8.18054,394
8.24358,394
8.30662,394
8.36966,394
8.4327,394
8.49574,394
8.55878,394
8.62182,394
8.68486,394
8.7479,394
8.81094,394
8.87398,394
8.93702,394
9.00006,394
9.0631,394
9.12614,394
9.18918,394
9.25222,394
9.31526,394
9.3783,394
9.44134,394
9.50438,394
9.56742,394
9.63046,394
9.6935,394
9.75654,394
9.81958,394
9.88262,394
9.94566,394
