Time,Window Size
0.0,0
0.231544,3400
0.790703,3740
0.916783,4080
1.02422,4420
1.1503,4760
1.27638,5100
1.40246,5440
1.52854,5780
1.59158,6120
1.71766,6460
1.84374,6800
1.96982,7140
2.0959,7480
2.22198,7820
2.34806,8160
2.47414,8500
2.60022,8840
2.7263,9180
2.91542,9520
3.0415,9860
3.16758,10200
3.29366,10540
3.41974,10880
3.54582,11220
3.6719,11560
3.79798,11900
3.92406,12240
4.05014,12580
4.17622,12920
4.3023,13260
4.42838,13600
4.55446,13940
4.68054,14280
4.80662,14620
4.9327,14960
5.05878,15300
5.18486,15640
5.31094,15980
5.43702,16320
5.5631,16660
5.68918,17000
5.81526,17340
5.94134,17680
6.06742,18020
6.1935,18360
6.31958,18700
6.44566,19040
6.57174,19380
6.69782,19720
6.8239,20060
6.94998,20400
7.07606,20740
7.20214,21080
7.32822,21420
7.4543,21760
7.58038,22100
7.70646,22440
7.83254,22780
7.95862,23120
8.0847,23460
8.21078,23800
8.33686,24140
8.46294,24480
8.58902,24820
8.7151,25160
8.84118,25500
8.96726,25840
9.09334,26180
9.21942,26520
9.3455,26860
9.47158,27200
9.59766,27540
9.72374,27880
9.84982,28220
9.9759,28560
10.102,28900
10.2281,29240
10.3541,29580
10.4802,29920
10.6063,30260
10.7324,30600
10.8585,30940
10.9845,31280
11.1106,31620
11.2367,31960
11.3628,32300
11.4889,32640
11.6149,32980
11.741,33320
11.8671,33660
11.9932,34000
12.1193,34340
12.2453,34680
12.3714,35020
12.4975,35360
12.6236,35700
12.7497,36040
12.8757,36380
13.0018,36720
13.1279,37060
13.254,37400
13.3801,37740
13.5061,38080
13.6322,38420
13.7583,38760
13.8844,39100
14.0105,39440
14.1365,39780
14.2626,40120
14.3887,40460
14.5148,40800
14.6409,41140
14.7669,41480
14.893,41820
15.0191,42160
15.1452,42500
15.2713,42840
15.3973,43180
15.5234,43520
15.6495,43860
15.7756,44200
15.9017,44540
16.0277,44880
16.1538,45220
16.2799,45560
16.406,45900
16.5321,46240
16.6581,46580
16.7842,46920
16.9103,47260
17.0364,47600
17.1625,47940
17.2885,48280
17.4146,48620
17.5407,48960
17.6668,49300
17.7929,49640
17.9189,49980
18.045,50320
18.1711,50660
18.2972,51000
18.4233,51340
18.5493,51680
18.6754,52020
18.8015,52360
18.9276,52700
19.0537,53040
19.1797,53380
19.3058,53720
19.4319,54060
19.558,54400
19.6841,54740
19.8101,55080
19.9362,55420
20.0623,55760
20.1884,56100
20.3145,56440
20.4405,56780
20.5666,57120
20.6927,57460
20.8188,57800
20.9449,58140
21.0709,58480
21.197,58820
21.3861,58480
28.5727,57800
28.6357,58140
35.0028,57800
35.0658,57460
35.1289,57120
35.1919,56780
35.2549,56440
35.318,56100
35.381,55760
35.4441,55420
35.5071,55080
35.5701,54740
35.6332,54400
35.6962,54060
35.7593,53040
35.8223,53380
36.0114,53040
36.0745,52700
36.1375,52360
36.2005,52020
36.2636,51680
36.3266,51340
36.3897,51000
36.4527,50660
36.5157,50320
36.5788,49980
36.6418,49640
36.7049,49300
36.7679,48960
36.8309,48620
36.894,48280
36.9157,340
42.1263,680
42.5854,1020
43.0445,1360
43.1076,1700
43.6297,2040
43.7558,2380
44.1519,2720
44.341,3060
44.4671,3400
44.7371,3740
44.9262,4080
44.9892,4420
45.3044,4760
45.4305,5100
45.6827,5440
45.8718,5780
45.9979,6120
46.25,6460
46.4391,6800
46.5022,7140
46.8174,7480
46.9435,7820
47.1956,8160
47.3847,8500
47.5108,8840
47.763,9180
47.9521,9520
48.0151,9860
48.3303,10200
48.4564,10540
48.7086,10880
48.8977,11220
49.0238,11560
49.2759,11900
49.4651,12240
49.5281,12580
49.8433,12920
49.9694,13260
50.2215,13600
50.4107,13940
50.5367,14280
50.7889,14620
50.978,14960
51.0411,15300
51.3563,15640
51.4823,15980
51.7345,16320
51.9236,16660
52.0497,17000
52.3019,17340
52.491,17680
52.554,18020
52.8692,18360
52.9953,18700
53.2475,19040
53.6257,18700
57.0299,18020
57.1559,17680
57.282,17340
57.4081,17000
57.5342,16660
57.6603,16320
57.7863,15980
57.9124,15640
